statements	Template	Annotation1	Annotation2	Annotation3	Annotation4
If it snows tonight then wake me up early because I want to arrive to work early	1	"(3, more than 2 inches)"	"(4, and it is a working day)"		
If I have an early morning meeting then wake me up early because I want to make sure I don't miss the meeting	2	"(12, and 2 hours before the meeting starts)"			
If the temperature is above 30 degrees then remind me to put the leftovers from last night into the fridge because I want the leftovers to stay fresh	1	"(2, inside)"	"(7, celcius)"		
If there is a sale on sketchbooks between now and August then notify me because I need to get sketchbooks for my fall class	2	"(11, of this year)"	"(14, about the sale)"		
If the weather is bad tomorrow then remind me to bring an umbrella because I want to stay warm	1	"(6, and I am going out)"	"(13, before I leave the house)"		
If my computer battery runs below 20 percent then remind me to plug the computer battery in the outlet because I want the computer battery to be healthy	1	"(4, charge)"			
If my computer battery runs below 20 percent then remind me to plug it in because I want the battery to have enough charge when I am in class	1	"(4, charge)"	"(8, and I have a class that day)"	"(15, the outlet)"	
If I have an early morning meeting then wake me up early because I want to prepare for the meeting.	2	"(12, and 3 hours before the meeting starts)"			
If it's been two weeks since my last call with my mentee and I don't have an upcoming appointment with her then remind me to send her an email because we forgot to schedule our next chat	4	"(21, in the next few days)"	"(29, to schedule our next appointment)"	"(2) call implies voice call, video call, or in person meeting"	
If I get a text from a family member and the room is quiet then read it out loud to me because I want noone else to hear messages from my family	5	"(12, that I am currently in)"			
If I get a text from a family member and the room is quiet then read it out loud to me because it probably means I'm not in a meeting and if I'm not in a meeting then I want to hear messages from my family immediately	5	"(12, that I am currently in)"			
If I have set an alarm for a time between 2am-8am on weekends then double check with me because it’s likely a mistake.	4	"(16, the alarm time)"			
If there is a phone software update then install it because it has fixed your bugs	2	"(7, for my phone)"	"(8, download and)"		
If I am gaining weight then remind me to exercise more often because I want to keep fit.	1	"(5, compared to a few weeks ago)"			
If I am gaining weight then remind me to exercise more often because I want to wear the dresses that I have	1	"(5, compared to a few months ago)"			
If it snows tonight then wake me up early because I want to see the snow for the first time in my life	2	"(9, before snow melts)"			
If the government shutdown does not end by this week then remind me to email Jerry because I want to offer Jerry help for paying his bills	1	"(8, the end of)"	"(16, about the government shutdown)"		
If a new paper about reasoning is published then notify me because I want to cite the paper in my upcoming work	2	"(8, online)"	"(11, about the publication)"		
If I have an upcoming bill payment then remind me to pay it because I want to make sure I avoid paying a late fee	2	"(7, in the next few days)"	"(13, before the bill payment deadline)"		
If I have a doctor's appointment then tell Mary not to schedule any meetings for me then because I want to go to the doctor	2	"(6, in the next few weeks)"			
If I have set an alarm for a time between 2AM-8AM on weekends then notify me because I want to correct the alarm	1	"(16, about the alarm)"			
If I have guests coming over in the weekend then remind me to go grocery shopping Friday evening because I want to feed my guests	3	"(8, upcoming)"	"(18, of this week)"		
If I finish my current audiobook and there are more than 20 new releases in my podcast queue then remind me to switch to podcasts because I want to remain updated	1	"(6, that I last listened to)"	"(25, when I start listening to audiobooks)"		
If the weather is bad tomorrow then remind me to bring an umbrella because my friend needs an umbrella	5	"(6, and I am going to see my friend)"	"(13, before I leave the house)"		
If we are approaching the end of the month then remind me to pay my bills because I want to avoid a fine	2	"(9, in a few days)"	"(16, that are due at the end of the month)"		
If the printer has ran out of ink then remind me to buy ink because I want to be able to print documents	1	"(4, that I usually print documents with)"	"(15, for the printer)"		
If I am running low on milk then remind me to stop by the grocery store and buy milk because I want to have milk at home.	1	"(7, and I don't have any other milk bottles)"	"(16, on my way back to home)"		
If there is an upcoming election then remind me to register and vote because I want my voice to be heard.	2	"(6, in the next few months)"	"(6, and I am eligible to vote)"	"(11, for the election)"	"(13, in the election)"
If a restaurant that I regularly visit changes their hours of operation then notify me because I want to go to the restaurant when it is open	2	"(12, compared to the last time I went there)"	"(15, of their hour change)"		
If I have not shoveled snow out of my driveway by the next day then remind me to do so because I want to avoid getting a ticket	1	"(14, in the winter)"	"(14, and it had snowed last night)"		
If I am walking to a meeting then remind me who else is there because I want to be prepared for the meeting	2	"(14, in the meeting)"			
If I sleep less than 6 hours then order me coffee because I want to stay awake in class	1	"(7, at night)"	"(7, and I have a class that day)"	"(11, from the last place I ordered coffee)"	
If I have an upcoming meeting outside my office building then remind me early because I want to be on time for the meeting	2	"(6, in the next few hours)"	"(14, before the meeting)"		
If the weather is bad tomorrow then remind me to bring an umbrella because I want to stay dry	1	"(6, and I am going out)"	"(13, before I leave the house)"		
If it snows tonight then wake me up early because I want to get to work on time	1	"(3, more than 2 inches (enough to cause traffic slowdowns))"	"(4, and it is a working day)"		
